date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:01	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/glow?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/glowbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:01	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/neon?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/neonbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:03	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/flaming?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/flamingbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:04	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/glow-effect?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/glow-effectbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:06	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/smoke?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/smokebd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:07	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/flower?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/flowerbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:10	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/leaves?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/leavesbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:11	47/47	---M--	200	added ('OK')	application/json	etag:W/%222f-brjeB8cUvUHu8t8Idsk4Q9f7hiE%22	https://yuzzu-api.herokuapp.com/api/googlesearch?judul=Anime	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/googlesearchf9f1.json	(from https://yuzzu-api.herokuapp.com/media)
10:57:12	1164/1164	---M--	200	added ('OK')	application/json	etag:W/%2248c-lTzJgw6z/a7ZAPqAguO+qeslLn0%22	https://yuzzu-api.herokuapp.com/api/translate?text=Babi&to=en	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/translate390d.json	(from https://yuzzu-api.herokuapp.com/media)
10:57:42	506/506	---M--	503	error ('Service%20Unavailable')	text/html	date:Sun,%2026%20Jun%202022%2003:57:38%20GMT	https://yuzzu-api.herokuapp.com/api/googleimage?judul=Anime	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/googleimagef9f1	(from https://yuzzu-api.herokuapp.com/media)
